user_id,observation.id,observation.license_code,observation.photo.id,observation.photo.license_code
jbest,139994953,CC-BY,239558967,CC-BY
jbest,139995039,CC-BY,239559062,CC-BY
jbest,139995039,CC-BY,239559085,CC-BY
jbest,139995101,CC-BY,239559227,CC-BY
jbest,139995101,CC-BY,239559257,CC-BY
jbest,139995199,CC-BY,239559647,CC-BY
jbest,139995199,CC-BY,239559658,CC-BY
jbest,139995270,CC-BY,239559680,CC-BY
jbest,139995270,CC-BY,239559702,CC-BY
jbest,139995270,CC-BY,239559715,CC-BY
jbest,139995270,CC-BY,239559734,CC-BY
jbest,139995305,CC-BY,239559757,CC-BY
jbest,139995305,CC-BY,239559781,CC-BY
jbest,140528979,CC-BY,240564715,CC-BY
jbest,140528979,CC-BY,240564789,CC-BY
jbest,140536805,CC-BY,240578145,CC-BY
jbest,140536805,CC-BY,240578182,CC-BY
jbest,140536805,CC-BY,240578214,CC-BY
jbest,141278907,CC-BY,241993365,CC-BY
jbest,141278956,CC-BY,241993478,CC-BY
jbest,141278956,CC-BY,241993524,CC-BY
jbest,141279014,CC-BY,241993611,CC-BY
jbest,141279024,CC-BY,241993679,CC-BY
jbest,142685244,CC-BY,244669180,CC-BY
jbest,142685244,CC-BY,244669192,CC-BY
jbest,143496769,CC-BY,246108924,CC-BY
jbest,143496769,CC-BY,246108955,CC-BY
jbest,152437538,CC-BY,263150078,CC-BY
jbest,152437538,CC-BY,263150096,CC-BY
jbest,152437870,CC-BY,263150719,CC-BY
jbest,152437870,CC-BY,263150753,CC-BY
jbest,152437870,CC-BY,263150779,CC-BY
jbest,152437870,CC-BY,263150801,CC-BY
jbest,153509581,CC-BY,265142994,CC-BY
jbest,153509581,CC-BY,265143010,CC-BY
jbest,153509581,CC-BY,265143028,CC-BY
jbest,153509643,CC-BY,265143111,CC-BY
jbest,153509643,CC-BY,265143121,CC-BY
jbest,153509643,CC-BY,265143140,CC-BY
jbest,153509643,CC-BY,265143156,CC-BY
jbest,153509643,CC-BY,265258843,CC-BY
jbest,153509643,CC-BY,265258865,CC-BY
jbest,153509643,CC-BY,265258831,CC-BY
jbest,162577801,CC-BY,281124042,CC-BY
jbest,162577801,CC-BY,281124056,CC-BY
jbest,162577801,CC-BY,281124081,CC-BY
jbest,167215470,CC-BY,289686089,CC-BY
jbest,169051475,CC-BY,293046955,CC-BY
jbest,169051595,CC-BY,295752140,CC-BY
jbest,169051595,CC-BY,295752195,CC-BY
jbest,169051595,CC-BY,295752237,CC-BY
jbest,170513993,CC-BY,295752627,CC-BY
jbest,170513993,CC-BY,295752662,CC-BY
jbest,170513993,CC-BY,295752693,CC-BY
jbest,172039079,CC-BY,298598105,CC-BY
jbest,172039079,CC-BY,298598146,CC-BY
jbest,172039079,CC-BY,298598180,CC-BY
jbest,172539235,CC-BY,299537206,CC-BY
jbest,172539235,CC-BY,299537225,CC-BY
jbest,177715334,CC-BY,309126374,CC-BY
jbest,186052795,CC-BY,325054557,CC-BY
jbest,186052795,CC-BY,325054572,CC-BY
jbest,186052837,CC-BY,325054670,CC-BY
jbest,186052837,CC-BY,325054700,CC-BY
jbest,186053078,CC-BY,325055164,CC-BY
jbest,186053078,CC-BY,325055187,CC-BY
jbest,187312977,CC-BY,327543154,CC-BY
jbest,187312977,CC-BY,327543185,CC-BY
jbest,187312977,CC-BY,327543210,CC-BY
jbest,187312977,CC-BY,327543232,CC-BY
jbest,187313079,CC-BY,327543398,CC-BY
jbest,187313079,CC-BY,327543410,CC-BY
jbest,187313079,CC-BY,327543437,CC-BY
jbest,187317104,CC-BY,327551808,CC-BY
jbest,187317104,CC-BY,327551836,CC-BY
jbest,187317104,CC-BY,327551863,CC-BY
jbest,187317104,CC-BY,327551892,CC-BY
jbest,187317206,CC-BY,328204492,CC-BY
jbest,187317206,CC-BY,328204530,CC-BY
jbest,187317206,CC-BY,328204584,CC-BY
jbest,187317206,CC-BY,328204627,CC-BY
jbest,187650500,CC-BY,328213316,CC-BY
jbest,187650500,CC-BY,328213385,CC-BY
jbest,187650500,CC-BY,328213470,CC-BY
jbest,187650500,CC-BY,328213516,CC-BY
jbest,187650783,CC-BY,328214153,CC-BY
jbest,187650783,CC-BY,328214221,CC-BY
jbest,187650783,CC-BY,328214293,CC-BY
jbest,187650783,CC-BY,328214439,CC-BY
jbest,187650882,CC-BY,328214517,CC-BY
jbest,187650882,CC-BY,328214872,CC-BY
jbest,187650882,CC-BY,328215035,CC-BY
jbest,187650882,CC-BY,328215079,CC-BY
jbest,187651608,CC-BY,328215957,CC-BY
jbest,187651608,CC-BY,328216043,CC-BY
jbest,187651608,CC-BY,328216148,CC-BY
jbest,187651608,CC-BY,328216218,CC-BY
jbest,189141694,CC-BY,331248227,CC-BY
jbest,189141694,CC-BY,331248238,CC-BY
jbest,189141694,CC-BY,331248255,CC-BY
jbest,189141694,CC-BY,331248272,CC-BY
jbest,189141723,CC-BY,331248287,CC-BY
jbest,189141723,CC-BY,331248304,CC-BY
jbest,189141723,CC-BY,331248320,CC-BY
jbest,189141723,CC-BY,331248333,CC-BY
jbest,189141748,CC-BY,331248350,CC-BY
jbest,189141748,CC-BY,331248371,CC-BY
jbest,189151677,CC-BY,331288870,CC-BY
jbest,189151677,CC-BY,331267651,CC-BY
jbest,189675779,CC-BY,332337512,CC-BY
jbest,189675779,CC-BY,332337535,CC-BY
jbest,189675779,CC-BY,332337560,CC-BY
jbest,189688957,CC-BY,332363666,CC-BY
jbest,189688957,CC-BY,332363702,CC-BY
jbest,189689055,CC-BY,332363839,CC-BY
jbest,189689055,CC-BY,332363870,CC-BY
jbest,189689097,CC-BY,332363977,CC-BY
jbest,189689097,CC-BY,332363996,CC-BY
jbest,189689133,CC-BY,332364083,CC-BY
jbest,189689133,CC-BY,332364103,CC-BY
jbest,189689133,CC-BY,332364122,CC-BY
jbest,189689304,CC-BY,332364300,CC-BY
jbest,189689304,CC-BY,332364343,CC-BY
jbest,189689304,CC-BY,332364393,CC-BY
jbest,189689304,CC-BY,332364409,CC-BY
jbest,189689460,CC-BY,332364571,CC-BY
jbest,189689460,CC-BY,332364594,CC-BY
jbest,189689460,CC-BY,332364853,CC-BY
jbest,189689708,CC-BY,332364902,CC-BY
jbest,189689708,CC-BY,332364951,CC-BY
jbest,189690020,CC-BY,332365294,CC-BY
jbest,189690020,CC-BY,332365452,CC-BY
jbest,189690020,CC-BY,332365525,CC-BY
jbest,199015327,CC-BY,350886924,CC-BY
jbest,199015327,CC-BY,350886938,CC-BY
jbest,199015327,CC-BY,350886947,CC-BY
jbest,199015327,CC-BY,350886957,CC-BY
jbest,199015536,CC-BY,350887234,CC-BY
jbest,199015536,CC-BY,350887250,CC-BY
jbest,202536245,CC-BY,357716387,CC-BY
jbest,202536245,CC-BY,357716394,CC-BY
jbest,202536245,CC-BY,357716405,CC-BY
jbest,202537587,CC-BY,357718882,CC-BY
jbest,202537587,CC-BY,357718913,CC-BY
jbest,202537587,CC-BY,357718940,CC-BY
jbest,202537587,CC-BY,357718961,CC-BY
jbest,206977861,CC-BY,366057829,CC-BY
jbest,206977861,CC-BY,366057866,CC-BY
jbest,206977987,CC-BY,366057979,CC-BY
jbest,206977987,CC-BY,366058015,CC-BY
jbest,206977987,CC-BY,366058051,CC-BY
jbest,206978244,CC-BY,366058382,CC-BY
jbest,206978244,CC-BY,366058414,CC-BY
jbest,206978516,CC-BY,366058761,CC-BY
jbest,206978516,CC-BY,366058784,CC-BY
jbest,206978516,CC-BY,366058820,CC-BY
jbest,206978692,CC-BY,366059021,CC-BY
jbest,206978692,CC-BY,366059082,CC-BY
jbest,206978692,CC-BY,366059110,CC-BY
jbest,206978692,CC-BY,366059139,CC-BY
jbest,206995133,CC-BY,366088961,CC-BY
jbest,206995133,CC-BY,366088992,CC-BY
jbest,208632680,CC-BY,369154354,CC-BY
jbest,208632680,CC-BY,369154378,CC-BY
jbest,208632680,CC-BY,369154407,CC-BY
jbest,208632680,CC-BY,369154432,CC-BY
jbest,208632747,CC-BY,369154516,CC-BY
jbest,208632747,CC-BY,369154540,CC-BY
jbest,208632747,CC-BY,369154553,CC-BY
jbest,208632747,CC-BY,369154576,CC-BY
jbest,208632847,CC-BY,369154716,CC-BY
